2,NN,EM 
1,284204.320446,281094.796485 
2,278854.202992,277016.673424 
3,281744.074329,283548.739743 
4,280799.284340,280410.936542 
5,275215.255063,278708.666134 
6,276682.106760,278159.861796 
7,277561.790074,275497.649571 
8,281931.206390,282557.306344 
9,275061.076613,277813.149687 
10,279140.909897,283324.936332 
