2,NN,EM 
1,245800.192222,263916.424194 
2,247433.508176,260998.029120 
3,247661.500364,262987.054793 
4,248496.435664,265270.731570 
5,242988.637865,257820.237259 
6,242510.055963,258631.500261 
7,246903.841750,260272.009360 
8,244971.986669,259933.900377 
9,245125.592153,261943.639080 
10,246427.234243,261210.107150 
