4,Only Frac-SECs,Frac-SECs + Warm-up,Frac-SECs + Post-heu,All 
31,16.309995,20.476166,11.775912,8.912189 
32,5.017085,10.798261,8.680586,8.708985 
33,71.399348,36.978055,32.403822,25.037550 
34,15.754393,12.328618,8.651043,10.147731 
35,8.229916,12.460683,12.717970,9.658614 
36,13.527884,16.589986,9.904062,10.362037 
37,10.690273,12.026691,8.769478,10.936338 
38,9.811741,8.260727,6.239975,7.113604 
39,15.255673,25.038450,3.940679,7.307157 
40,12.973980,11.109606,9.683464,11.381715 
