2,TS,VNS 
21,239302.476104,241912.831103 
22,240800.631328,243887.357410 
23,239787.939438,242488.168078 
24,241818.914214,244617.244913 
25,239067.346342,241955.037199 
26,239810.371211,244005.921394 
27,237273.982951,242303.632774 
28,235728.961913,239113.586929 
29,240752.450992,244730.082779 
30,237319.768641,239635.070985 
