2,HF,LB 
61,233431.628276,235567.995266 
62,239602.785909,240096.351881 
63,235648.643133,236962.710209 
64,236830.025619,236426.233949 
65,235346.814171,235733.841627 
66,235792.020765,235502.944983 
67,236309.525080,236783.003374 
68,239727.706832,238729.765209 
69,233947.748932,234419.126162 
70,236004.889340,236170.565713 
