5,Random,40%,50%,60%,80%  
51,233809.787048,233768.899406,235003.210415,233639.466270,235789.619404 
52,233283.352275,232531.736767,232416.275094,233836.391001,234127.237559 
53,237785.280240,237119.841879,237497.232683,239196.732736,238781.805232 
54,240312.687605,239174.137241,239671.259077,242382.931816,243435.426804 
55,237097.706385,236892.634410,237628.611261,239269.745020,238989.167676 
56,235765.203346,236469.677037,236653.168675,237337.147886,237872.842093 
57,230991.911546,231111.584661,233080.469441,233874.445159,233871.496154 
58,232652.053889,232754.039521,233298.796008,234408.122726,234710.671201 
59,236593.122972,236887.346080,236137.190926,236729.999439,237218.225135 
60,235674.765957,235516.052646,237373.315407,238897.092390,238536.308281 
